p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
8.19E-240	0.157578676	0.263	0.087	1.32E-235	R1	Cct3
2.79E-238	0.142615525	0.231	0.07	4.48E-234	R1	Eif4a1
8.06E-236	0.17031603	0.302	0.11	1.30E-231	R1	Fam111a
1.23E-234	0.155041112	0.259	0.086	1.98E-230	R1	Ptges3
1.43E-233	0.203362219	0.418	0.185	2.30E-229	R1	Actn1
5.06E-232	0.218741941	0.54	0.273	8.14E-228	R1	Serbp1
2.02E-231	0.16817579	0.299	0.109	3.25E-227	R1	Slc25a3
3.21E-229	0.170636567	0.336	0.131	5.15E-225	R1	Tsn
4.20E-229	0.195230031	0.387	0.166	6.75E-225	R1	Lpgat1
1.04E-228	0.110198206	0.151	0.034	1.67E-224	R1	Mmd
6.53E-227	0.118390016	0.167	0.041	1.05E-222	R1	Dynap
1.80E-226	0.155691097	0.266	0.091	2.89E-222	R1	Cdk4
1.38E-221	0.187362055	0.387	0.167	2.22E-217	R1	G3bp2
4.49E-220	0.134604343	0.189	0.052	7.21E-216	R1	Ptgs2
4.54E-220	0.132102775	0.199	0.057	7.30E-216	R1	Ran
4.88E-220	0.117082157	0.169	0.043	7.84E-216	R1	Strap
7.34E-219	0.144263487	0.252	0.085	1.18E-214	R1	Rps4x
3.79E-217	0.224004221	0.644	0.358	6.08E-213	R1	Rpl4
6.19E-217	0.190871934	0.382	0.167	9.95E-213	R1	Cdk6
4.18E-216	0.114179087	0.166	0.042	6.72E-212	R1	Ccng1
4.44E-216	0.233676697	0.709	0.414	7.14E-212	R1	Cald1
3.18E-213	0.144091535	0.251	0.086	5.12E-209	R1	Gdi2
8.46E-213	0.109723343	0.158	0.039	1.36E-208	R1	Mcm7
1.79E-210	0.229179935	0.544	0.289	2.87E-206	R1	Smarca5
1.20E-209	0.125000292	0.196	0.058	1.93E-205	R1	Capn2
3.28E-209	0.232201726	0.712	0.429	5.27E-205	R1	Tpr
3.92E-209	0.10587016	0.152	0.037	6.29E-205	R1	Mcm6
8.22E-205	0.159006876	0.287	0.109	1.32E-200	R1	Eif1
4.13E-203	0.167616571	0.325	0.133	6.64E-199	R1	Eif5
1.44E-201	0.17066788	0.343	0.145	2.32E-197	R1	G3bp1
1.07E-197	0.152678642	0.275	0.104	1.71E-193	R1	Klf5
3.55E-197	0.234519777	0.724	0.443	5.71E-193	R1	Hsp90b1
5.06E-196	0.234548285	0.592	0.334	8.14E-192	R1	Hspa5
2.69E-194	0.134730607	0.243	0.086	4.33E-190	R1	Rpl3
5.89E-191	0.149893582	0.288	0.114	9.46E-187	R1	Rpl7a
7.87E-191	0.135199055	0.235	0.082	1.27E-186	R1	Ezr
3.31E-189	0.177950827	0.412	0.198	5.32E-185	R1	Dhx9
8.90E-189	0.176413995	0.411	0.196	1.43E-184	R1	Smc3
2.86E-188	0.129489909	0.213	0.071	4.59E-184	R1	Atic
4.99E-187	0.142246439	0.255	0.095	8.01E-183	R1	Pcolce2
1.26E-186	0.166255015	0.362	0.163	2.02E-182	R1	Csde1
5.43E-186	0.175517907	0.399	0.19	8.72E-182	R1	Gspt1
8.64E-186	0.139741708	0.269	0.103	1.39E-181	R1	Ptbp3
8.51E-185	0.137459465	0.258	0.097	1.37E-180	R1	Dhx15
2.71E-184	0.103250667	0.149	0.039	4.36E-180	R1	Anxa3
2.51E-183	0.129838339	0.222	0.077	4.03E-179	R1	Mtap
5.77E-183	0.146979205	0.279	0.111	9.26E-179	R1	Pdia6
7.07E-183	0.122574343	0.207	0.068	1.14E-178	R1	Serpinf1
1.31E-181	0.156112583	0.307	0.129	2.10E-177	R1	Bzw1
5.32E-181	0.136352673	0.262	0.1	8.55E-177	R1	Cnot6
7.41E-181	0.131559273	0.236	0.085	1.19E-176	R1	Cnbp
7.87E-180	0.136144821	0.237	0.087	1.26E-175	R1	Tfrc
1.98E-179	0.134821459	0.244	0.091	3.18E-175	R1	Eps8
6.65E-179	0.111694869	0.188	0.059	1.07E-174	R1	Ppp1ca
7.94E-179	0.130110213	0.23	0.083	1.28E-174	R1	Txnl1
1.33E-178	0.118074664	0.18	0.055	2.14E-174	R1	Errfi1
5.99E-178	0.170466402	0.385	0.184	9.62E-174	R1	Kpnb1
2.57E-177	0.134846707	0.243	0.091	4.13E-173	R1	Hnrnph1
2.76E-177	0.127040443	0.222	0.078	4.43E-173	R1	Clic1
2.88E-177	0.141862981	0.278	0.112	4.62E-173	R1	Cct8
5.22E-177	0.151063544	0.29	0.12	8.39E-173	R1	Abce1
1.04E-174	0.152885531	0.317	0.138	1.66E-170	R1	Cct6a
2.52E-174	0.140239601	0.265	0.105	4.06E-170	R1	Tcp1
1.10E-173	0.106742756	0.167	0.05	1.77E-169	R1	Axl
4.79E-173	0.104616836	0.167	0.049	7.69E-169	R1	Rac1
2.96E-171	0.190126888	0.578	0.331	4.75E-167	R1	Kif5b
8.80E-170	0.120466448	0.206	0.071	1.41E-165	R1	Pcolce
2.78E-169	0.111378776	0.18	0.057	4.47E-165	R1	Fkbp4
4.46E-168	0.145889428	0.297	0.127	7.16E-164	R1	Arpc2
7.34E-168	0.101350854	0.155	0.045	1.18E-163	R1	Morf4l2
1.36E-167	0.141621299	0.252	0.099	2.19E-163	R1	Hspa8
4.70E-167	0.184450196	0.565	0.322	7.55E-163	R1	Ddx5
6.18E-167	0.165742898	0.396	0.195	9.93E-163	R1	Nars
9.03E-167	0.125362931	0.233	0.087	1.45E-162	R1	Fscn1
4.99E-166	0.101881003	0.158	0.046	8.02E-162	R1	Psmd14
7.34E-165	0.133447489	0.246	0.096	1.18E-160	R1	Clspn
1.22E-164	0.102358909	0.169	0.052	1.96E-160	R1	Cap1
1.24E-164	0.180296751	0.494	0.267	1.99E-160	R1	Smc2
7.12E-164	0.138559354	0.265	0.108	1.14E-159	R1	Tpm4
1.33E-163	0.117031193	0.207	0.073	2.13E-159	R1	Crk
5.78E-161	0.176860991	0.454	0.241	9.29E-157	R1	Ptp4a2
1.45E-160	0.142791836	0.294	0.127	2.34E-156	R1	Pola1
1.53E-160	0.117551915	0.207	0.074	2.45E-156	R1	Atp5c1
7.46E-160	0.157667371	0.324	0.149	1.20E-155	R1	Atad2
1.40E-159	0.130985773	0.258	0.104	2.25E-155	R1	Lims1
2.63E-158	0.164840753	0.447	0.233	4.22E-154	R1	Eef2
1.07E-157	0.150146381	0.341	0.16	1.72E-153	R1	Hnrnpm
2.00E-157	0.107620266	0.177	0.058	3.22E-153	R1	Pclaf
3.57E-156	0.154322092	0.277	0.118	5.74E-152	R1	Inhba
1.96E-155	0.146540512	0.284	0.123	3.15E-151	R1	Cited2
2.29E-155	0.113415809	0.195	0.069	3.69E-151	R1	Ugdh
6.26E-155	0.12092951	0.226	0.086	1.01E-150	R1	Far1
2.77E-154	0.16598775	0.425	0.223	4.45E-150	R1	Sept7
2.31E-153	0.1273409	0.231	0.091	3.71E-149	R1	Usp1
3.82E-153	0.119259853	0.216	0.081	6.13E-149	R1	Topbp1
6.05E-152	0.141892484	0.309	0.14	9.71E-148	R1	Rasa1
1.31E-151	0.125831959	0.234	0.092	2.10E-147	R1	Ubc
2.74E-151	0.111967797	0.207	0.076	4.41E-147	R1	Arhgdia
1.46E-150	0.155500026	0.393	0.2	2.35E-146	R1	Prpf40a
1.30E-149	0.118450372	0.208	0.078	2.10E-145	R1	Eif4h
1.48E-149	0.101002712	0.164	0.053	2.38E-145	R1	Mcm3
7.21E-149	0.106681757	0.187	0.065	1.16E-144	R1	Ythdf2
1.05E-148	0.171159114	0.597	0.351	1.69E-144	R1	Nucks1
1.16E-148	0.122931486	0.228	0.09	1.86E-144	R1	Rrm1
2.68E-148	0.115404728	0.21	0.079	4.30E-144	R1	Cdc42
2.81E-148	0.130928231	0.257	0.108	4.52E-144	R1	Nasp
3.24E-148	0.110198476	0.182	0.063	5.21E-144	R1	Ifrd1
6.64E-148	0.121673617	0.23	0.091	1.07E-143	R1	Ctnnb1
7.31E-148	0.177758692	0.533	0.309	1.17E-143	R1	Gnas
3.77E-147	0.102293578	0.18	0.062	6.05E-143	R1	Dap
4.20E-147	0.150028699	0.34	0.163	6.75E-143	R1	Rfc1
5.86E-147	0.124093244	0.244	0.1	9.42E-143	R1	Txn1
1.23E-146	0.109890767	0.181	0.063	1.98E-142	R1	Epha4
1.53E-146	0.138242352	0.274	0.12	2.46E-142	R1	Eno3
5.18E-146	0.117776648	0.219	0.085	8.32E-142	R1	Anp32e
9.35E-146	0.127312361	0.259	0.11	1.50E-141	R1	Rpl5
1.86E-145	0.16206063	0.428	0.23	2.99E-141	R1	Ssb
7.57E-145	0.150162744	0.372	0.188	1.22E-140	R1	Cct2
9.02E-145	0.115722673	0.201	0.075	1.45E-140	R1	Rbbp7
1.36E-144	0.102813454	0.174	0.059	2.18E-140	R1	Fkbp1a
2.18E-143	0.1294132	0.289	0.13	3.50E-139	R1	Mapre1
1.05E-142	0.105721792	0.185	0.066	1.69E-138	R1	Rab1a
1.25E-141	0.109677405	0.209	0.08	2.02E-137	R1	P4hb
3.03E-141	0.106105964	0.182	0.065	4.87E-137	R1	Mdh2
3.16E-141	0.124076444	0.243	0.102	5.08E-137	R1	Nudt4
1.04E-140	0.137833404	0.331	0.16	1.67E-136	R1	Pafah1b1
1.08E-140	0.163817837	0.48	0.27	1.73E-136	R1	Iqgap1
1.20E-140	0.118509047	0.235	0.096	1.92E-136	R1	Ddb1
5.37E-140	0.152975961	0.409	0.217	8.63E-136	R1	Hnrnpa2b1
8.15E-140	0.140868325	0.321	0.154	1.31E-135	R1	Hspa4l
1.29E-139	0.150512238	0.363	0.184	2.07E-135	R1	Nap1l1
1.43E-139	0.121641523	0.238	0.099	2.31E-135	R1	Cct5
1.64E-138	0.110320876	0.183	0.067	2.64E-134	R1	Aqp5
3.08E-138	0.122160545	0.24	0.1	4.95E-134	R1	Emp1
2.56E-137	0.166932177	0.498	0.288	4.11E-133	R1	Eprs
3.98E-137	0.165824775	0.497	0.286	6.40E-133	R1	Tpm1
7.42E-137	0.109602707	0.216	0.086	1.19E-132	R1	Dkc1
1.04E-136	0.100384907	0.171	0.06	1.68E-132	R1	Slc30a4
2.24E-136	0.104125563	0.185	0.068	3.59E-132	R1	Pcbp1
7.53E-136	0.105857217	0.192	0.072	1.21E-131	R1	Cox5a
8.88E-136	0.115615279	0.212	0.084	1.43E-131	R1	Cdv3
2.49E-135	0.11147448	0.2	0.077	4.01E-131	R1	Phlda1
1.74E-133	0.148340033	0.38	0.198	2.80E-129	R1	Flna
1.46E-132	0.116698279	0.225	0.093	2.35E-128	R1	Bnip2
1.49E-132	0.10716851	0.2	0.078	2.39E-128	R1	Actr2
1.60E-132	0.122361639	0.253	0.111	2.58E-128	R1	Nrp1
5.13E-132	0.169024532	0.59	0.365	8.24E-128	R1	Scaf11
2.30E-131	0.152742093	0.527	0.308	3.70E-127	R1	Rbms1
3.29E-130	0.118738774	0.246	0.108	5.28E-126	R1	Psmd2
5.93E-130	0.106257383	0.2	0.078	9.53E-126	R1	Ddx1
5.62E-128	0.124925397	0.267	0.122	9.03E-124	R1	Tmpo
5.86E-128	0.104023723	0.19	0.073	9.41E-124	R1	Sox9
7.63E-128	0.112240979	0.234	0.099	1.23E-123	R1	Anxa6
1.77E-127	0.151001536	0.403	0.22	2.85E-123	R1	Hspa4
3.09E-127	0.107214492	0.205	0.082	4.97E-123	R1	Ptgs1
9.79E-127	0.106337511	0.193	0.075	1.57E-122	R1	Syt13
1.59E-126	0.113182272	0.24	0.104	2.56E-122	R1	Capzb
7.34E-126	0.112343801	0.229	0.098	1.18E-121	R1	Prkar1a
1.33E-124	0.100484585	0.192	0.075	2.13E-120	R1	Clic4
7.59E-124	0.108635531	0.208	0.086	1.22E-119	R1	Oxr1
7.65E-124	0.115768652	0.227	0.098	1.23E-119	R1	Slc25a24
8.07E-124	0.138781642	0.351	0.183	1.30E-119	R1	Ssrp1
1.82E-123	0.146888064	0.42	0.234	2.93E-119	R1	Ckap4
2.43E-123	0.118485318	0.251	0.113	3.90E-119	R1	Etf1
1.05E-122	0.146577295	0.45	0.256	1.69E-118	R1	Hdgf
1.91E-122	0.11426504	0.232	0.101	3.07E-118	R1	Syncrip
3.50E-122	0.121613037	0.264	0.122	5.63E-118	R1	Uhrf1bp1l
5.74E-122	0.103249441	0.198	0.08	9.22E-118	R1	Serpinb6a
4.43E-121	0.135080652	0.366	0.195	7.12E-117	R1	Smc6
5.95E-121	0.137307978	0.417	0.231	9.56E-117	R1	Atp2b1
4.58E-120	0.12574075	0.294	0.143	7.36E-116	R1	Vps35
7.06E-120	0.12953047	0.326	0.166	1.13E-115	R1	Basp1
1.28E-119	0.102839876	0.201	0.082	2.05E-115	R1	Capza2
1.97E-119	0.130573263	0.351	0.184	3.17E-115	R1	Ywhab
7.11E-119	0.108613889	0.216	0.092	1.14E-114	R1	C1qbp
8.76E-119	0.125405649	0.214	0.091	1.41E-114	R1	Ccn1
1.81E-118	0.105015586	0.207	0.087	2.91E-114	R1	Kif2a
2.26E-117	0.144854549	0.503	0.3	3.63E-113	R1	Pbrm1
2.81E-117	0.13069976	0.353	0.187	4.51E-113	R1	Ywhae
4.57E-117	0.14075198	0.393	0.217	7.35E-113	R1	Nolc1
8.38E-116	0.127338649	0.304	0.153	1.35E-111	R1	Nop58
9.36E-116	0.114169989	0.271	0.129	1.50E-111	R1	Mprip
8.74E-115	0.123675217	0.32	0.163	1.40E-110	R1	Rpl8
1.32E-113	0.110223897	0.276	0.132	2.12E-109	R1	Serpinh1
3.81E-112	0.122026463	0.315	0.162	6.11E-108	R1	Eif4g1
2.51E-111	0.111845207	0.27	0.13	4.03E-107	R1	Rtn4
8.65E-111	0.116551957	0.292	0.146	1.39E-106	R1	Rab14
2.59E-110	0.137218241	0.396	0.225	4.17E-106	R1	Ctnna1
5.10E-110	0.118785023	0.298	0.151	8.19E-106	R1	Smchd1
7.78E-110	0.104220578	0.216	0.095	1.25E-105	R1	Efr3a
3.25E-107	0.11197067	0.265	0.129	5.22E-103	R1	Rangap1
5.87E-106	0.130061749	0.366	0.204	9.43E-102	R1	Rdx
6.52E-104	0.110891607	0.262	0.128	1.05E-99	R1	Gtpbp4
1.65E-103	0.146910429	0.508	0.316	2.66E-99	R1	Ankrd1
2.61E-103	0.116762969	0.309	0.161	4.19E-99	R1	Ddx6
8.10E-102	0.111062675	0.251	0.123	1.30E-97	R1	Cdc27
1.40E-101	0.100075315	0.206	0.092	2.24E-97	R1	Dnajc2
2.42E-101	0.104910811	0.243	0.116	3.89E-97	R1	Hmgn1
1.17E-100	0.10159936	0.227	0.106	1.87E-96	R1	Oxct1
4.72E-100	0.11001106	0.243	0.118	7.58E-96	R1	Tomm70a
2.18E-99	0.100019419	0.216	0.099	3.51E-95	R1	Cul5
1.69E-98	0.100158848	0.213	0.098	2.72E-94	R1	Ipo5
2.36E-98	0.102320652	0.23	0.109	3.79E-94	R1	Lars
2.83E-98	0.110940769	0.288	0.15	4.55E-94	R1	Gnl3
2.65E-96	0.111431209	0.29	0.152	4.25E-92	R1	Tm9sf3
1.44E-95	0.102724339	0.234	0.113	2.31E-91	R1	Fmr1
7.48E-95	0.104777101	0.292	0.153	1.20E-90	R1	Ube3a
1.92E-93	0.138357065	0.494	0.314	3.08E-89	R1	Ccdc88a
2.02E-93	0.119206466	0.373	0.216	3.24E-89	R1	Naa15
3.66E-90	0.106092873	0.255	0.131	5.88E-86	R1	Ehd4
5.49E-88	0.111376689	0.332	0.188	8.82E-84	R1	Wdr43
4.62E-86	0.111145101	0.295	0.163	7.43E-82	R1	Supt16
1.75E-83	0.101985016	0.271	0.146	2.81E-79	R1	Asap1
3.35E-83	0.103826844	0.269	0.145	5.39E-79	R1	Cltc
1.94E-80	0.110452327	0.423	0.261	3.12E-76	R1	Smc4
1.33E-79	0.101673923	0.329	0.19	2.13E-75	R1	Actn4
3.67E-79	0.108377666	0.353	0.208	5.90E-75	R1	Csf1
3.74E-78	0.100158088	0.318	0.183	6.01E-74	R1	Dhx36
1.44E-77	0.105358697	0.378	0.23	2.32E-73	R1	Brd2
3.10E-77	0.106262628	0.389	0.237	4.98E-73	R1	Mybbp1a
5.14E-71	0.102057813	0.342	0.208	8.26E-67	R1	Baz1b
2.59E-70	0.102683681	0.414	0.263	4.17E-66	R1	Rbm39
9.69E-70	0.127653796	0.837	0.693	1.56E-65	R1	Nedd4
1.01E-68	0.103153015	0.472	0.31	1.63E-64	R1	Calr
1.02E-62	0.100837227	0.433	0.285	1.64E-58	R1	Ddx21
0	0.747389269	0.857	0.408	0	R2	Spp1
0	0.660414982	0.85	0.323	0	R2	Top2a
0	0.638726054	0.984	0.806	0	R2	Actb
0	0.604391646	0.803	0.298	0	R2	Ccnd1
0	0.54676345	0.74	0.25	0	R2	Cenpf
0	0.50638711	0.784	0.292	0	R2	Cenpe
0	0.499613582	0.917	0.501	0	R2	Vim
0	0.448722789	0.603	0.171	0	R2	Arl6ip1
0	0.447022086	0.824	0.371	0	R2	Grem1
0	0.416988824	0.614	0.191	0	R2	Tubb5
0	0.395052521	0.677	0.257	0	R2	Pkm
0	0.391069101	0.806	0.386	0	R2	Pabpc1
0	0.37932769	0.636	0.223	0	R2	Prkg2
0	0.375711529	0.679	0.262	0	R2	Smc2
0	0.369948874	0.651	0.251	0	R2	Smc4
0	0.355476716	0.607	0.231	0	R2	Lpp
0	0.32278779	0.567	0.219	0	R2	Anxa2
0	0.3195502	0.571	0.203	0	R2	Kif20b
0	0.309440212	0.621	0.256	0	R2	Npm1
0	0.276742771	0.524	0.189	0	R2	Knl1
0	0.268987202	0.488	0.173	0	R2	Ywhaz
6.85E-305	0.238678967	0.379	0.114	1.10E-300	R2	Prc1
3.76E-303	0.262497508	0.453	0.155	6.05E-299	R2	Eif5a
2.73E-302	0.279704353	0.486	0.177	4.39E-298	R2	Anln
9.25E-298	0.250125814	0.417	0.136	1.49E-293	R2	Hmmr
4.67E-294	0.410372809	0.952	0.767	7.51E-290	R2	Ncl
4.30E-291	0.224598039	0.368	0.112	6.91E-287	R2	Kif11
5.98E-290	0.281503786	0.551	0.22	9.60E-286	R2	Alcam
7.73E-290	0.31995515	0.753	0.366	1.24E-285	R2	Hsp90aa1
4.84E-289	0.319758753	0.634	0.287	7.78E-285	R2	Eif4g2
1.14E-287	0.27598306	0.498	0.189	1.83E-283	R2	Gpd2
1.24E-282	0.224937632	0.347	0.103	1.99E-278	R2	Tuba1b
4.11E-270	0.30232384	0.556	0.234	6.61E-266	R2	Cd44
4.40E-270	0.231938648	0.424	0.148	7.08E-266	R2	Set
6.05E-267	0.248221489	0.475	0.179	9.72E-263	R2	Pcbp2
2.88E-248	0.261095064	0.485	0.194	4.63E-244	R2	Hmga2
3.41E-245	0.271115842	0.559	0.245	5.47E-241	R2	Atp5b
4.43E-245	0.255469971	0.508	0.209	7.11E-241	R2	Cfl1
5.48E-245	0.249963428	0.443	0.17	8.81E-241	R2	Cdk6
2.24E-236	0.241277	0.485	0.197	3.61E-232	R2	Pa2g4
1.41E-235	0.198990044	0.331	0.106	2.27E-231	R2	Slc25a5
2.23E-234	0.196982277	0.313	0.098	3.58E-230	R2	Tm4sf1
1.75E-232	0.242707971	0.498	0.209	2.82E-228	R2	Hspa9
1.31E-227	0.272411002	0.695	0.353	2.10E-223	R2	Nucks1
3.84E-223	0.137890374	0.192	0.043	6.16E-219	R2	Cdk1
1.54E-222	0.199223292	0.348	0.118	2.47E-218	R2	Aspm
1.16E-221	0.285990084	0.828	0.475	1.87E-217	R2	Calm1
9.12E-213	0.190028728	0.329	0.111	1.47E-208	R2	H3f3b
2.14E-212	0.186039342	0.321	0.107	3.44E-208	R2	Sgo2a
3.28E-198	0.185048102	0.331	0.117	5.27E-194	R2	Atp5a1
7.67E-197	0.226415378	0.404	0.164	1.23E-192	R2	Nid1
8.45E-195	0.245795665	0.648	0.335	1.36E-190	R2	Kif5b
1.55E-194	0.241458879	0.483	0.218	2.49E-190	R2	Npnt
3.85E-191	0.167620348	0.273	0.088	6.19E-187	R2	Rrm2
9.47E-191	0.197999194	0.396	0.159	1.52E-186	R2	Hnrnpab
2.18E-190	0.21826662	0.431	0.182	3.50E-186	R2	Fth1
2.21E-190	0.175834575	0.291	0.098	3.55E-186	R2	Anxa1
6.70E-190	0.204914783	0.417	0.172	1.08E-185	R2	Txnrd1
9.80E-189	0.20354671	0.409	0.168	1.57E-184	R2	Hspd1
1.34E-188	0.270446217	0.838	0.511	2.15E-184	R2	Lmna
1.76E-185	0.252906329	0.754	0.422	2.82E-181	R2	Cald1
2.03E-184	0.198637235	0.411	0.171	3.26E-180	R2	Mbnl1
3.19E-184	0.255089393	0.842	0.507	5.12E-180	R2	Hsp90ab1
2.36E-182	0.207731023	0.442	0.192	3.79E-178	R2	Ddx3x
2.57E-180	0.249370094	0.716	0.381	4.12E-176	R2	Mki67
2.69E-178	0.122807523	0.177	0.044	4.32E-174	R2	Cdc20
7.66E-176	0.172758865	0.301	0.107	1.23E-171	R2	Ckap2l
2.01E-169	0.183721048	0.379	0.156	3.22E-165	R2	Hspa4l
1.05E-168	0.15310992	0.272	0.093	1.68E-164	R2	Mtpn
5.42E-165	0.172309384	0.312	0.117	8.71E-161	R2	Ldha
3.62E-164	0.129606256	0.194	0.055	5.81E-160	R2	Ect2
8.09E-164	0.208340508	0.558	0.281	1.30E-159	R2	Serbp1
3.10E-161	0.18723756	0.394	0.171	4.99E-157	R2	Ybx1
3.08E-159	0.165493317	0.324	0.126	4.95E-155	R2	Tpx2
1.68E-158	0.103446034	0.139	0.031	2.70E-154	R2	Tuba1c
1.82E-155	0.168187167	0.344	0.14	2.93E-151	R2	Hnrnpk
1.23E-153	0.114703131	0.173	0.047	1.98E-149	R2	Tubb4b
2.02E-147	0.198715809	0.582	0.309	3.25E-143	R2	Sf3b1
2.26E-147	0.185997648	0.418	0.193	3.62E-143	R2	Actn1
5.36E-144	0.153987463	0.286	0.11	8.62E-140	R2	Tagln2
7.96E-144	0.148876384	0.277	0.105	1.28E-139	R2	Nudt4
7.37E-143	0.204666682	0.658	0.367	1.18E-138	R2	Rpl4
4.74E-142	0.167071249	0.281	0.109	7.61E-138	R2	Ctsl
1.10E-141	0.183826949	0.463	0.227	1.77E-137	R2	Sept7
3.41E-140	0.159560974	0.333	0.14	5.49E-136	R2	Eif5
1.38E-139	0.165756285	0.362	0.159	2.22E-135	R2	Ckap5
6.08E-138	0.171106626	0.406	0.19	9.76E-134	R2	Kpnb1
1.13E-137	0.152461987	0.281	0.11	1.81E-133	R2	Lgals3
1.54E-137	0.153046708	0.306	0.124	2.48E-133	R2	Tmpo
1.19E-135	0.133806992	0.213	0.072	1.91E-131	R2	Ddx39
9.82E-134	0.197052818	0.54	0.291	1.58E-129	R2	Tpm1
1.54E-129	0.179562756	0.561	0.303	2.48E-125	R2	Pbrm1
6.80E-129	0.172258179	0.451	0.225	1.09E-124	R2	Rack1
