region	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster
chr2:83743885-83745756	4.41E-74	0.566853109	0.241	0.094	1.22E-68	A1
chr6:131353093-131354134	1.38E-73	0.529490523	0.264	0.107	3.80E-68	A1
chr8:79083201-79084586	1.11E-72	0.568244207	0.229	0.087	3.06E-67	A1
chr11:67514463-67516340	1.75E-72	0.576046159	0.213	0.077	4.82E-67	A1
chr19:59399402-59401484	5.65E-72	0.537509977	0.253	0.102	1.56E-66	A1
chr5:112917559-112918600	5.01E-71	0.810379795	0.124	0.033	1.38E-65	A1
chr15:73912537-73915319	5.18E-71	0.596915214	0.209	0.077	1.43E-65	A1
chr5:112922428-112924205	1.05E-70	0.817675321	0.117	0.03	2.88E-65	A1
chr11:90286411-90287354	6.73E-70	0.516342392	0.255	0.104	1.85E-64	A1
chr9:96877554-96879745	6.49E-68	0.579369429	0.197	0.071	1.79E-62	A1
chr6:49987367-49988277	1.13E-67	0.80789358	0.121	0.033	3.11E-62	A1
chr15:88865925-88869254	1.24E-65	0.503376018	0.255	0.107	3.41E-60	A1
chr8:80961656-80963121	9.01E-65	0.819246357	0.115	0.031	2.48E-59	A1
chr8:79994540-79995641	9.53E-65	0.813726986	0.115	0.031	2.63E-59	A1
chr15:73978643-73982850	2.25E-64	0.621244425	0.179	0.064	6.19E-59	A1
chr10:5920903-5923061	1.45E-60	0.559159074	0.198	0.076	4.01E-55	A1
chr2:172964020-172965946	4.95E-58	0.819090272	0.102	0.028	1.36E-52	A1
chr2:166237406-166238626	9.07E-58	0.664795579	0.149	0.051	2.50E-52	A1
chr7:79210092-79210789	3.87E-57	0.544375234	0.195	0.077	1.07E-51	A1
chr2:148043450-148047242	1.99E-56	0.532992806	0.198	0.079	5.47E-51	A1
chr11:106957159-106958161	4.66E-56	0.522772494	0.191	0.074	1.28E-50	A1
chr9:72839072-72840119	2.41E-54	0.735754797	0.117	0.036	6.64E-49	A1
chr14:118713072-118714241	8.61E-54	0.565790512	0.175	0.067	2.37E-48	A1
chr5:112640402-112641698	1.54E-53	0.551611177	0.167	0.062	4.26E-48	A1
chr7:51749642-51750730	1.89E-53	0.705113943	0.127	0.042	5.22E-48	A1
chr8:116587155-116588680	4.93E-53	0.632203326	0.136	0.046	1.36E-47	A1
chr1:167278581-167280805	3.05E-52	0.69259911	0.125	0.041	8.40E-47	A1
chr13:36695693-36696743	6.62E-52	0.740898409	0.111	0.034	1.83E-46	A1
chr3:9397670-9399411	3.43E-51	0.550751332	0.179	0.072	9.45E-46	A1
chr5:146807949-146809084	9.30E-50	0.720425731	0.115	0.037	2.56E-44	A1
chr11:46244564-46246719	6.31E-48	0.507594772	0.188	0.079	1.74E-42	A1
chr6:135082914-135084553	7.98E-48	0.568637097	0.15	0.057	2.20E-42	A1
chr8:117074017-117075441	9.66E-48	0.707092296	0.107	0.033	2.66E-42	A1
chr9:101289012-101289957	2.10E-47	0.744024899	0.106	0.033	5.79E-42	A1
chr18:82479262-82480792	4.94E-47	0.518381271	0.181	0.076	1.36E-41	A1
chr2:165214722-165216663	9.32E-47	0.581092318	0.141	0.052	2.57E-41	A1
chr5:24282883-24284739	7.65E-46	0.542711656	0.175	0.074	2.11E-40	A1
chr17:24866613-24868277	1.68E-45	0.562449323	0.141	0.052	4.62E-40	A1
chr11:117856447-117861636	6.30E-45	0.505638755	0.166	0.068	1.73E-39	A1
chr12:25154871-25156272	1.66E-44	0.510808315	0.168	0.07	4.57E-39	A1
chr1:135225322-135228747	7.41E-44	0.544892446	0.138	0.052	2.04E-38	A1
chr5:92856133-92856943	1.13E-43	0.500574974	0.168	0.07	3.10E-38	A1
chr4:124913604-124920744	3.82E-43	0.513267225	0.154	0.061	1.05E-37	A1
chr2:131401604-131402772	6.32E-43	0.550153796	0.146	0.057	1.74E-37	A1
chr15:74293080-74295607	1.66E-42	0.578181491	0.126	0.046	4.58E-37	A1
chr4:151927898-151929696	4.72E-42	0.569005794	0.129	0.048	1.30E-36	A1
chr6:119445677-119447201	5.17E-42	0.63386874	0.106	0.035	1.42E-36	A1
chr3:135711793-135713138	5.34E-42	0.547972778	0.138	0.053	1.47E-36	A1
chr8:105339798-105341826	8.19E-42	0.510467508	0.163	0.068	2.26E-36	A1
chr8:94803391-94805317	2.05E-41	0.53582236	0.135	0.052	5.65E-36	A1
chr2:122255236-122257213	2.67E-41	0.603675241	0.113	0.039	7.37E-36	A1
chr9:27321979-27324515	5.94E-41	0.635517212	0.106	0.036	1.64E-35	A1
chr6:128371909-128375793	6.13E-41	0.553959156	0.128	0.048	1.69E-35	A1
chr7:109217951-109221086	2.86E-40	0.508083683	0.147	0.059	7.88E-35	A1
chr5:111789868-111791350	3.37E-40	0.521411364	0.146	0.059	9.28E-35	A1
chr7:130982053-130983503	3.59E-40	0.504784704	0.158	0.067	9.89E-35	A1
chr7:144054247-144056243	2.98E-39	0.554461583	0.125	0.048	8.20E-34	A1
chr17:17843372-17844556	3.64E-38	0.530274863	0.133	0.052	1.00E-32	A1
chr12:86693854-86696550	4.15E-38	0.50568868	0.143	0.059	1.14E-32	A1
chr4:9014942-9016954	2.66E-37	0.506868199	0.143	0.059	7.32E-32	A1
chr13:108833960-108835053	3.09E-37	0.530389877	0.131	0.053	8.51E-32	A1
chr3:121601806-121602754	4.38E-36	0.59764662	0.106	0.039	1.21E-30	A1
chr6:128364561-128367067	1.36E-35	0.554112917	0.117	0.045	3.75E-30	A1
chr13:6658953-6659928	4.24E-35	0.523408645	0.122	0.048	1.17E-29	A1
chr2:6117911-6119024	5.92E-35	0.514646368	0.131	0.054	1.63E-29	A1
chr8:94573525-94576325	1.01E-34	0.50560587	0.125	0.05	2.77E-29	A1
chr9:27256159-27257266	1.99E-34	0.528409876	0.128	0.053	5.49E-29	A1
chr5:109466376-109467677	2.48E-34	0.500098443	0.131	0.054	6.82E-29	A1
chr7:109186991-109188257	2.79E-34	0.522374734	0.121	0.048	7.68E-29	A1
chr4:106692746-106695814	3.01E-34	0.557952327	0.113	0.044	8.29E-29	A1
chr2:122608541-122609916	3.28E-34	0.539725016	0.124	0.05	9.03E-29	A1
chr7:108940450-108942222	5.60E-34	0.529460508	0.126	0.052	1.54E-28	A1
chr8:115718625-115719705	1.82E-33	0.549924368	0.107	0.041	5.02E-28	A1
chr6:84181096-84181999	1.91E-33	0.567838994	0.107	0.041	5.28E-28	A1
chr5:37436355-37438876	3.35E-33	0.51405674	0.117	0.047	9.23E-28	A1
chr9:103133616-103136362	4.22E-33	0.509817741	0.126	0.052	1.16E-27	A1
chr8:91186223-91189235	1.22E-32	0.511334514	0.112	0.044	3.37E-27	A1
chr15:74049048-74051906	1.82E-32	0.547406937	0.113	0.045	5.01E-27	A1
chr12:116269331-116270242	3.72E-32	0.582680402	0.101	0.038	1.02E-26	A1
chrX:153237333-153238479	3.98E-32	0.532860149	0.107	0.041	1.10E-26	A1
chr4:120151641-120153045	2.45E-31	0.522494391	0.113	0.046	6.75E-26	A1
chr9:99130700-99132528	2.60E-31	0.51095711	0.12	0.05	7.17E-26	A1
chr8:86563472-86564270	2.75E-31	0.539502044	0.111	0.045	7.58E-26	A1
chr3:116023783-116024924	2.68E-30	0.513803598	0.115	0.048	7.38E-25	A1
chr15:34051834-34053108	1.45E-29	0.528528606	0.108	0.044	3.99E-24	A1
chr6:141249169-141250728	2.73E-29	0.501134879	0.104	0.041	7.53E-24	A1
chr1:91692429-91694108	2.32E-28	0.509886082	0.105	0.043	6.38E-23	A1
chr7:101508016-101510284	8.92E-28	0.505426792	0.102	0.041	2.46E-22	A1
chr12:17055730-17058023	6.97E-27	0.514710549	0.108	0.046	1.92E-21	A1
chr2:172903078-172908248	7.45E-170	0.735901892	0.317	0.102	2.05E-164	A2
chr8:92488036-92490266	9.50E-157	0.599989308	0.401	0.158	2.62E-151	A2
chr8:89663581-89664508	2.13E-150	0.814391071	0.254	0.077	5.88E-145	A2
chr5:112886391-112889695	2.29E-143	0.633162972	0.331	0.118	6.31E-138	A2
chr5:112917559-112918600	4.80E-139	1.0552256	0.145	0.029	1.32E-133	A2
chr6:127693203-127694905	1.02E-136	0.963658287	0.177	0.043	2.80E-131	A2
chr8:79255117-79257264	1.93E-130	0.549088644	0.384	0.162	5.33E-125	A2
chr5:112922428-112924205	4.20E-115	1.035769287	0.128	0.027	1.16E-109	A2
chr8:116587155-116588680	6.99E-105	0.876614497	0.158	0.043	1.93E-99	A2
chr12:109416517-109419480	2.96E-104	0.518886892	0.346	0.153	8.17E-99	A2
chr6:49987367-49988277	5.68E-102	0.933323056	0.129	0.031	1.56E-96	A2
chr15:95370260-95371614	6.34E-101	0.520012019	0.342	0.154	1.75E-95	A2
chr5:147314543-147315982	1.14E-95	0.514923814	0.328	0.146	3.15E-90	A2
chr15:73918550-73920420	5.64E-94	0.587673511	0.264	0.106	1.55E-88	A2
chr7:144970204-144972771	1.39E-92	0.605670395	0.24	0.092	3.82E-87	A2
chr11:67514463-67516340	1.85E-91	0.639142653	0.212	0.074	5.09E-86	A2
chr8:94921990-94924800	3.19E-90	0.534332876	0.293	0.127	8.79E-85	A2
chr7:82070017-82071753	3.97E-87	0.779553278	0.159	0.049	1.09E-81	A2
chrX:99607757-99610890	5.17E-87	0.683457574	0.193	0.067	1.42E-81	A2
chr14:101729083-101730804	6.45E-86	0.549435022	0.267	0.111	1.78E-80	A2
chr8:92483194-92484068	3.42E-84	0.85750352	0.134	0.038	9.41E-79	A2
chr13:40605547-40606967	2.67E-83	0.976129026	0.101	0.023	7.35E-78	A2
chr8:105339798-105341826	9.35E-82	0.683768835	0.184	0.065	2.58E-76	A2
chr2:180440837-180444909	1.06E-79	0.538756091	0.259	0.112	2.92E-74	A2
chr4:151471570-151476060	8.96E-79	0.575756407	0.234	0.096	2.47E-73	A2
chr15:73912537-73915319	2.09E-77	0.62436129	0.2	0.076	5.76E-72	A2
chr6:118259569-118262139	4.17E-77	0.583162815	0.213	0.084	1.15E-71	A2
chr2:172938540-172940922	3.02E-76	0.697661784	0.162	0.054	8.32E-71	A2
chr8:84457589-84461845	3.37E-76	0.578668855	0.219	0.088	9.29E-71	A2
chr11:100248463-100250077	7.85E-76	0.641051244	0.195	0.074	2.16E-70	A2
chr2:165214722-165216663	1.53E-74	0.723966272	0.152	0.05	4.21E-69	A2
chr5:136177027-136181888	6.25E-74	0.663268256	0.178	0.065	1.72E-68	A2
chr19:59399402-59401484	3.87E-73	0.536840988	0.237	0.101	1.07E-67	A2
chr9:96877554-96879745	5.45E-72	0.600716272	0.186	0.07	1.50E-66	A2
chr15:73978643-73982850	7.17E-71	0.646082307	0.172	0.063	1.98E-65	A2
chr7:109186991-109188257	4.96E-70	0.711804466	0.14	0.045	1.37E-64	A2
chr2:144441008-144442309	2.16E-68	0.533610994	0.228	0.098	5.96E-63	A2
chr13:81683831-81685527	5.74E-68	0.55352354	0.216	0.091	1.58E-62	A2
chr8:120925580-120927445	6.49E-66	0.627577128	0.18	0.07	1.79E-60	A2
chr8:79994540-79995641	6.69E-65	0.817029335	0.107	0.031	1.84E-59	A2
chr12:109798315-109799859	2.24E-64	0.598792653	0.179	0.07	6.16E-59	A2
chr1:194938515-194940243	2.72E-63	0.526764088	0.215	0.093	7.50E-58	A2
chr8:80961656-80963121	4.92E-63	0.800687755	0.105	0.03	1.36E-57	A2
chr11:113950214-113952325	2.30E-62	0.695520862	0.137	0.047	6.34E-57	A2
chr8:79083201-79084586	1.17E-61	0.529013006	0.203	0.087	3.22E-56	A2
chr12:83032737-83035104	1.01E-60	0.758551543	0.114	0.035	2.78E-55	A2
chr15:73891890-73894938	6.06E-60	0.664833071	0.144	0.052	1.67E-54	A2
chr1:165767048-165769399	8.38E-60	0.604824816	0.158	0.059	2.31E-54	A2
chr6:114012476-114013503	5.78E-59	0.823945563	0.103	0.031	1.59E-53	A2
chr4:141658339-141660141	1.59E-58	0.540849224	0.192	0.082	4.38E-53	A2
chr8:94826247-94827777	2.89E-58	0.585333664	0.174	0.071	7.96E-53	A2
chr4:139440422-139443816	6.97E-57	0.542644564	0.189	0.081	1.92E-51	A2
chr4:136996895-136998839	1.15E-56	0.519454339	0.201	0.089	3.18E-51	A2
chr17:24855309-24857037	1.17E-56	0.543296978	0.186	0.08	3.22E-51	A2
chr13:36695693-36696743	1.60E-56	0.768583751	0.106	0.033	4.40E-51	A2
chr8:92456015-92459479	1.97E-54	0.630273235	0.139	0.052	5.43E-49	A2
chr5:112640402-112641698	1.00E-53	0.576728279	0.156	0.062	2.77E-48	A2
chr2:165201352-165202715	1.60E-53	0.643860487	0.133	0.048	4.41E-48	A2
chr7:145000996-145002674	9.78E-52	0.585969321	0.152	0.061	2.69E-46	A2
chr7:109217951-109221086	3.51E-51	0.578452318	0.147	0.058	9.67E-46	A2
chr7:122409983-122412415	1.33E-50	0.524224032	0.173	0.075	3.68E-45	A2
chr8:120946868-120947967	1.37E-50	0.685417505	0.109	0.037	3.77E-45	A2
chr6:119445677-119447201	9.88E-50	0.701126624	0.104	0.034	2.72E-44	A2
chr17:24866613-24868277	4.13E-49	0.627011133	0.134	0.052	1.14E-43	A2
chr5:146807949-146809084	4.72E-48	0.692242094	0.106	0.037	1.30E-42	A2
chr1:38240602-38242388	1.31E-47	0.547523441	0.141	0.056	3.61E-42	A2
chr15:74293080-74295607	1.43E-47	0.633663935	0.122	0.045	3.93E-42	A2
chr4:129950868-129952915	1.69E-47	0.579591931	0.141	0.057	4.67E-42	A2
chr2:162853223-162854477	5.77E-47	0.614838657	0.125	0.047	1.59E-41	A2
chr17:27236891-27239017	7.07E-47	0.542388665	0.161	0.07	1.95E-41	A2
chr6:86219112-86220934	9.47E-47	0.51204172	0.155	0.065	2.61E-41	A2
chr5:39623732-39625752	9.93E-47	0.650134134	0.105	0.036	2.74E-41	A2
chr13:108833960-108835053	1.01E-46	0.629811398	0.13	0.051	2.80E-41	A2
chr4:140861845-140863605	2.99E-46	0.541049809	0.148	0.062	8.25E-41	A2
chr7:137086925-137088412	3.39E-46	0.660379809	0.113	0.041	9.34E-41	A2
chr2:122255236-122257213	3.58E-46	0.669383779	0.108	0.039	9.88E-41	A2
chr5:147565514-147567094	5.39E-46	0.574192163	0.137	0.055	1.48E-40	A2
chr2:157409449-157412217	1.80E-45	0.509306939	0.169	0.076	4.95E-40	A2
chr15:74049048-74051906	1.27E-44	0.60572408	0.117	0.044	3.51E-39	A2
chr4:154517774-154523270	1.46E-44	0.545987719	0.15	0.064	4.04E-39	A2
chr8:94573525-94576325	7.31E-44	0.585960366	0.125	0.049	2.01E-38	A2
chr4:151927898-151929696	2.19E-43	0.609054078	0.121	0.047	6.04E-38	A2
chr4:125920920-125922824	3.22E-43	0.618994405	0.113	0.043	8.87E-38	A2
chr9:58669033-58670593	5.61E-43	0.500120311	0.164	0.075	1.55E-37	A2
chr15:73837948-73841952	2.01E-42	0.51272983	0.144	0.061	5.55E-37	A2
chr14:60426684-60429015	5.86E-42	0.622735184	0.102	0.037	1.62E-36	A2
chr5:37436355-37438876	4.38E-41	0.598076389	0.116	0.046	1.21E-35	A2
chr15:98295123-98296457	1.78E-40	0.541515109	0.133	0.056	4.91E-35	A2
chr9:30895782-30897301	4.15E-40	0.524014222	0.134	0.056	1.14E-34	A2
chrX:153237333-153238479	5.57E-40	0.62608793	0.106	0.04	1.54E-34	A2
chr15:73870012-73871097	1.54E-39	0.587378782	0.116	0.046	4.24E-34	A2
chr8:84959514-84960440	2.23E-39	0.579467803	0.11	0.043	6.14E-34	A2
chr5:35188028-35189785	4.12E-39	0.535839065	0.128	0.054	1.13E-33	A2
chr6:84181096-84181999	7.85E-39	0.588774457	0.105	0.04	2.16E-33	A2
chr15:88501634-88503208	1.16E-38	0.556700962	0.113	0.045	3.21E-33	A2
chr6:83047966-83051704	1.57E-38	0.517180974	0.14	0.062	4.34E-33	A2
chr8:80576702-80577763	2.68E-38	0.614490913	0.101	0.038	7.38E-33	A2
chr3:103140142-103141922	6.82E-38	0.564319536	0.117	0.048	1.88E-32	A2
chr17:34699541-34701855	1.28E-37	0.513171081	0.128	0.055	3.52E-32	A2
chr5:109466376-109467677	4.61E-37	0.542537039	0.125	0.053	1.27E-31	A2
chr4:150634602-150636083	8.85E-37	0.546904803	0.122	0.051	2.44E-31	A2
chr8:86563472-86564270	1.50E-36	0.589138894	0.108	0.044	4.12E-31	A2
chr6:92037409-92039512	2.97E-36	0.576937104	0.106	0.042	8.18E-31	A2
chr19:42052071-42054548	6.54E-36	0.501061976	0.139	0.064	1.80E-30	A2
chr2:131403129-131405721	7.65E-36	0.554279607	0.124	0.054	2.11E-30	A2
chr6:141249169-141250728	1.76E-35	0.561270991	0.103	0.04	4.84E-30	A2
chr13:83744709-83745627	2.18E-35	0.580005367	0.103	0.041	6.00E-30	A2
chr6:91000203-91001794	2.42E-35	0.528275484	0.119	0.051	6.68E-30	A2
chr8:33672861-33675101	1.79E-34	0.512895254	0.125	0.056	4.93E-29	A2
chr2:166581716-166583566	7.95E-34	0.51466748	0.115	0.049	2.19E-28	A2
chr2:166237406-166238626	1.15E-33	0.530875785	0.119	0.052	3.17E-28	A2
chr6:118335693-118337685	2.02E-33	0.54198536	0.118	0.052	5.57E-28	A2
chr5:129000317-129002079	6.17E-33	0.534413909	0.11	0.047	1.70E-27	A2
chr12:91710555-91711658	6.23E-33	0.561751704	0.104	0.043	1.72E-27	A2
chr8:83638477-83639938	1.89E-32	0.540064223	0.103	0.042	5.20E-27	A2
chr2:158510468-158511418	3.44E-32	0.505347732	0.123	0.056	9.49E-27	A2
chr7:108940450-108942222	3.90E-32	0.532751887	0.116	0.052	1.07E-26	A2
chr9:27256159-27257266	4.93E-32	0.508464039	0.118	0.052	1.36E-26	A2
chr5:147589117-147590651	1.99E-31	0.513301714	0.119	0.054	5.49E-26	A2
chr13:112252206-112254850	2.37E-31	0.551903174	0.106	0.046	6.54E-26	A2
chr7:125564509-125566777	6.96E-30	0.502449763	0.108	0.048	1.92E-24	A2
chr19:24615288-24616690	1.47E-29	0.508167983	0.117	0.054	4.06E-24	A2
chr8:87172795-87174285	1.61E-29	0.512023775	0.102	0.044	4.44E-24	A2
chr9:99379085-99381018	2.83E-29	0.51259612	0.102	0.044	7.81E-24	A2
chr3:129937605-129938428	4.57E-29	0.523253797	0.103	0.045	1.26E-23	A2
chr15:34051834-34053108	4.69E-29	0.527388258	0.101	0.044	1.29E-23	A2
chr9:40993746-40995294	1.04E-27	0.506640311	0.112	0.052	2.87E-22	A2
chr8:117387178-117389670	1.18E-218	0.873162067	0.295	0.072	3.27E-213	A3
chr15:85533501-85538795	4.76E-206	0.52669841	0.592	0.235	1.31E-200	A3
chr3:107535939-107538035	3.76E-189	0.666805202	0.393	0.13	1.04E-183	A3
chr17:45228614-45231297	9.59E-154	0.789663911	0.239	0.064	2.64E-148	A3
chr4:95317489-95319834	4.10E-147	0.736250144	0.26	0.076	1.13E-141	A3
chr9:90260447-90261676	9.71E-132	1.033784138	0.134	0.026	2.68E-126	A3
chr4:28814786-28815996	9.66E-126	0.753482778	0.222	0.065	2.66E-120	A3
chr14:70504582-70506631	4.88E-119	1.010106368	0.127	0.025	1.35E-113	A3
chr2:118528083-118530725	1.15E-118	0.651016642	0.26	0.086	3.16E-113	A3
chr3:102366065-102367020	2.39E-118	0.565839052	0.331	0.129	6.59E-113	A3
chr9:109848593-109850604	3.84E-113	0.764404268	0.189	0.053	1.06E-107	A3
chr6:99946179-99947607	8.39E-102	0.936459403	0.123	0.027	2.31E-96	A3
chr8:122154256-122156730	1.15E-97	0.51933147	0.304	0.122	3.18E-92	A3
chr7:31062758-31064041	1.01E-95	0.798888605	0.146	0.038	2.77E-90	A3
chr14:63346052-63349008	2.03E-93	0.569860128	0.252	0.095	5.59E-88	A3
chr14:34601248-34603784	2.74E-89	0.641636632	0.192	0.063	7.54E-84	A3
chr6:72518508-72520702	4.80E-89	0.860817039	0.122	0.03	1.32E-83	A3
chr8:102783617-102785684	2.94E-88	0.669905142	0.185	0.06	8.11E-83	A3
chr12:108872250-108873721	3.42E-86	0.863591596	0.119	0.029	9.41E-81	A3
chr15:86040557-86042244	8.48E-86	0.654242973	0.186	0.062	2.34E-80	A3
chr15:101454614-101455837	2.65E-84	0.558591541	0.232	0.088	7.30E-79	A3
chr6:127374589-127376795	1.71E-83	0.83080209	0.116	0.029	4.71E-78	A3
chr6:80491252-80493267	1.93E-83	0.563134648	0.232	0.087	5.31E-78	A3
chr4:107626712-107630400	5.41E-83	0.638111823	0.179	0.058	1.49E-77	A3
chr1:74375073-74377427	6.04E-81	0.615426411	0.191	0.066	1.66E-75	A3
chr7:66193957-66195262	7.74E-81	0.781336764	0.134	0.038	2.13E-75	A3
chr13:38502787-38505402	2.48E-80	0.844680791	0.116	0.029	6.83E-75	A3
chr5:140570530-140573088	2.09E-77	0.52974701	0.23	0.089	5.75E-72	A3
chr7:79210092-79210789	1.39E-76	0.567870386	0.203	0.075	3.83E-71	A3
chr11:65209164-65210272	3.36E-76	0.756111339	0.133	0.038	9.26E-71	A3
chr17:17843372-17844556	8.35E-75	0.659019127	0.155	0.05	2.30E-69	A3
chr8:70800647-70802788	4.34E-73	0.573221299	0.198	0.074	1.20E-67	A3
chr14:40906766-40909364	1.82E-71	0.67380863	0.144	0.045	5.01E-66	A3
chr8:125415046-125417010	7.62E-71	0.555632866	0.201	0.077	2.10E-65	A3
chr11:104028608-104030518	1.02E-70	0.565763658	0.19	0.071	2.82E-65	A3
chr7:98151323-98153513	8.43E-70	0.597528687	0.163	0.055	2.32E-64	A3
chr4:114367136-114368405	4.26E-68	0.785299262	0.108	0.029	1.17E-62	A3
chr6:100525314-100527784	2.68E-67	0.726988391	0.126	0.038	7.40E-62	A3
chr10:4481806-4483022	3.65E-67	0.753609953	0.115	0.033	1.00E-61	A3
chr8:122100621-122104344	4.43E-67	0.647506791	0.142	0.046	1.22E-61	A3
chr12:109798315-109799859	3.25E-66	0.552464134	0.185	0.07	8.97E-61	A3
chr17:13554974-13556721	3.39E-66	0.592585012	0.166	0.059	9.33E-61	A3
chr5:129298203-129299890	4.65E-66	0.615526681	0.161	0.057	1.28E-60	A3
chr8:71637291-71639000	4.77E-66	0.801996095	0.103	0.028	1.32E-60	A3
chr17:23534714-23535634	7.81E-65	0.687495801	0.128	0.04	2.15E-59	A3
chr16:10769491-10771090	2.45E-64	0.743692984	0.107	0.03	6.76E-59	A3
chr2:92047397-92049045	1.17E-63	0.534149591	0.195	0.077	3.23E-58	A3
chr4:145257384-145259286	3.17E-63	0.546950368	0.176	0.066	8.75E-58	A3
chr10:109010384-109012088	4.24E-61	0.697436683	0.121	0.038	1.17E-55	A3
chr8:107556324-107558923	2.20E-60	0.594588508	0.153	0.055	6.07E-55	A3
chr2:121085266-121086319	2.50E-59	0.577723621	0.156	0.057	6.87E-54	A3
chr3:9397670-9399411	3.84E-59	0.526624624	0.179	0.071	1.06E-53	A3
chr1:119152343-119154094	5.78E-59	0.595470664	0.148	0.053	1.59E-53	A3
chr5:140667099-140668409	7.34E-58	0.666689051	0.115	0.036	2.02E-52	A3
chr13:62785150-62786262	2.46E-57	0.708325306	0.11	0.034	6.79E-52	A3
chr2:157409449-157412217	7.74E-57	0.501112011	0.185	0.075	2.13E-51	A3
chr10:93324951-93327111	1.76E-56	0.514154555	0.196	0.084	4.86E-51	A3
chr15:101410887-101415784	2.64E-56	0.529374161	0.167	0.065	7.26E-51	A3
chr12:109424254-109426633	2.91E-56	0.574320003	0.144	0.052	8.02E-51	A3
chr3:102135431-102137403	5.02E-56	0.709546854	0.109	0.034	1.38E-50	A3
chr12:25131277-25133220	6.99E-56	0.52344044	0.174	0.07	1.93E-50	A3
chr6:117504839-117506450	2.00E-55	0.666509885	0.119	0.039	5.50E-50	A3
chr2:160224974-160225882	7.30E-55	0.610486352	0.13	0.045	2.01E-49	A3
chr4:107501784-107503550	4.73E-54	0.698236347	0.108	0.034	1.30E-48	A3
chr14:34582022-34584929	1.99E-53	0.569595756	0.139	0.051	5.49E-48	A3
chr2:32619269-32622112	6.98E-52	0.6621905	0.108	0.035	1.92E-46	A3
chr11:51948996-51950397	9.99E-52	0.555783934	0.14	0.052	2.75E-46	A3
chr15:43869465-43870465	4.68E-51	0.590536934	0.128	0.046	1.29E-45	A3
chr3:79885869-79887257	1.58E-50	0.558799536	0.136	0.05	4.36E-45	A3
chr11:22829991-22831381	2.65E-50	0.621778623	0.114	0.038	7.30E-45	A3
chr1:75292452-75293763	1.13E-49	0.638321989	0.107	0.035	3.11E-44	A3
chr11:114933423-114934835	3.74E-49	0.65651007	0.102	0.033	1.03E-43	A3
chr5:125350718-125352087	3.82E-49	0.617680657	0.116	0.04	1.05E-43	A3
chr8:122192776-122195423	1.15E-48	0.576174289	0.123	0.044	3.17E-43	A3
chr14:63342312-63345197	1.73E-48	0.645804503	0.107	0.035	4.76E-43	A3
chr15:59523760-59524570	1.75E-48	0.508233389	0.17	0.073	4.83E-43	A3
chr4:122859115-122860328	3.21E-48	0.582254096	0.128	0.047	8.85E-43	A3
chr16:38653141-38654993	3.53E-48	0.558184852	0.133	0.05	9.72E-43	A3
chr4:120878819-120880502	9.89E-48	0.532613967	0.15	0.061	2.72E-42	A3
chr12:111434268-111435861	1.11E-47	0.664757611	0.103	0.034	3.07E-42	A3
chr4:129950868-129952915	2.77E-47	0.533997597	0.144	0.057	7.62E-42	A3
chr10:86264232-86265378	6.14E-47	0.577665879	0.13	0.049	1.69E-41	A3
chr5:36904048-36906005	1.21E-46	0.654378052	0.101	0.033	3.33E-41	A3
